TRAINING RESULTS
============================================================

Final Metrics:
  Final Train Loss:     0.7137
  Final Val Loss:       0.7388
  Final Train IoU:      0.4958
  Final Val IoU:        0.4600
  Final Train Dice:     0.6397
  Final Val Dice:       0.6585
  Final Train Accuracy: 0.8195
  Final Val Accuracy:   0.8224
============================================================

Best Results:
  Best Val IoU:      0.4603  (Epoch 29)
  Best Val Dice:     0.6594  (Epoch 29)
  Best Val Accuracy: 0.8234  (Epoch 28)
  Lowest Val Loss:   0.7388  (Epoch 30)
============================================================

Per-Class IoU (Final Validation — Best Model):
----------------------------------------
  Background          : 0.4569
  Trees               : 0.5566
  Lush Bushes         : 0.4325
  Dry Grass           : 0.5677
  Dry Bushes          : 0.3748
  Ground Clutter      : 0.2031
  Logs                : 0.1023
  Rocks               : 0.2285
  Landscape           : 0.5252
  Sky                 : 0.9622

  Mean IoU: 0.4410
============================================================

Per-Epoch History:
--------------------------------------------------------------------------------------------------------------
Epoch  TrLoss    ValLoss   TrIoU     ValIoU    TrDice    ValDice   TrAcc     ValAcc    LR          
--------------------------------------------------------------------------------------------------------------
1      0.9261    0.8200    0.4321    0.3940    0.5677    0.5915    0.7991    0.8069    0.000293    
2      0.8119    0.8082    0.4461    0.4087    0.5854    0.6061    0.8050    0.8126    0.000271    
3      0.7882    0.7868    0.4606    0.4205    0.6011    0.6183    0.8042    0.8099    0.000238    
4      0.7736    0.7807    0.4629    0.4269    0.6045    0.6264    0.8070    0.8128    0.000197    
5      0.7624    0.7715    0.4685    0.4323    0.6093    0.6315    0.8107    0.8159    0.000150    
6      0.7565    0.7660    0.4723    0.4359    0.6128    0.6355    0.8119    0.8164    0.000104    
7      0.7511    0.7636    0.4745    0.4362    0.6162    0.6355    0.8105    0.8149    0.000063    
8      0.7468    0.7607    0.4773    0.4400    0.6183    0.6385    0.8145    0.8190    0.000030    
9      0.7445    0.7603    0.4763    0.4404    0.6174    0.6395    0.8127    0.8183    0.000008    
10     0.7432    0.7582    0.4775    0.4413    0.6183    0.6398    0.8145    0.8195    0.000300    
11     0.7514    0.7625    0.4746    0.4406    0.6171    0.6393    0.8127    0.8182    0.000293    
12     0.7455    0.7581    0.4781    0.4418    0.6197    0.6403    0.8132    0.8188    0.000271    
13     0.7396    0.7549    0.4800    0.4433    0.6214    0.6430    0.8116    0.8163    0.000238    
14     0.7347    0.7558    0.4786    0.4445    0.6207    0.6442    0.8150    0.8190    0.000197    
15     0.7314    0.7502    0.4864    0.4493    0.6295    0.6475    0.8153    0.8203    0.000150    
16     0.7299    0.7483    0.4853    0.4503    0.6257    0.6490    0.8174    0.8210    0.000104    
17     0.7263    0.7470    0.4897    0.4521    0.6317    0.6511    0.8176    0.8212    0.000063    
18     0.7253    0.7453    0.4873    0.4534    0.6293    0.6522    0.8179    0.8216    0.000030    
19     0.7238    0.7451    0.4903    0.4543    0.6321    0.6524    0.8195    0.8231    0.000008    
20     0.7231    0.7449    0.4908    0.4548    0.6328    0.6536    0.8187    0.8220    0.000300    
21     0.7292    0.7474    0.4856    0.4505    0.6276    0.6492    0.8171    0.8208    0.000293    
22     0.7269    0.7476    0.4889    0.4523    0.6318    0.6517    0.8172    0.8209    0.000271    
23     0.7245    0.7464    0.4891    0.4524    0.6310    0.6499    0.8181    0.8224    0.000238    
24     0.7221    0.7454    0.4898    0.4549    0.6317    0.6544    0.8169    0.8201    0.000197    
25     0.7214    0.7440    0.4917    0.4561    0.6346    0.6555    0.8173    0.8207    0.000150    
26     0.7184    0.7417    0.4940    0.4573    0.6373    0.6559    0.8176    0.8217    0.000104    
27     0.7169    0.7401    0.4940    0.4589    0.6355    0.6576    0.8197    0.8234    0.000063    
28     0.7147    0.7392    0.4951    0.4599    0.6377    0.6580    0.8202    0.8234    0.000030    
29     0.7152    0.7398    0.4948    0.4603    0.6370    0.6594    0.8186    0.8219    0.000008    
30     0.7137    0.7388    0.4958    0.4600    0.6397    0.6585    0.8195    0.8224    0.000300    
